,Tờ khai,Ngày đăng ký,Tên nơi mở tờ khai,Mã doanh nghiệp XNK,Tên doanh nghiệp XNK,Đơn vị đối tác,Mã hàng khai báo,Số thứ tự hàng,Tên hàng,Đơn giá khai báo(USD),Đơn giá NT khai báo,Đơn giá điều chỉnh(USD),Đơn giá NT điều chỉnh,PP khai báo,PP áp giá,Nguyên tệ,Tỷ giá nguyên tệ,Tỷ giá USD,Lượng,Đơn vị tính,Tên nuớc xuất xứ,Số hợp đồng,Ngày hợp đồng,Mã phương thức thanh toán,Điều kiện giao hàng,Mã phương tiện vận chuyển,Phương tiện vận chuyển,Kiểm tra giá cấp Tổng cục,Kiểm tra giá cấp Cục,Kiểm tra giá cấp Chi cục,Thuế suất XNK,Thuế suất TTĐB,Thuế suất VAT,Thuế suất tự vệ,Thuế XNK,Thuế TTĐB,Thuế VAT,Thuế môi trường,Thuế tự vệ,Xếp hạng DN,Trạng thái,Kết quả kiểm tra STQ,Nước nhập khẩu,Ngày KTG chi cục,Kết quả TVG chi cục,Kết quả TVG cục,Mặt hàng,Nhãn hiệu,Model
0,105623542400/A11/15BB,2023-08-01,HUUNGHILS,'0101117660,Công ty TNHH Thương mại - tài chính Hải âu,"LIUGONG MACHINERY HONGKONG CO., LTD",'84295100,2,"Máy xúc lật bánh lốp Liugong model CLG816C, động cơ diezel Yunnei, công suất 65 kW, Thể tích gầu 1.0m3. Hàng mới 100% sản xuất năm 2023",12900.0,12900.0,,,G1,,USD,23500.0,23500,1,UNIT,CN,LGHKVNSF2318-1,2023-07-27,LC,DAP,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,24252000.0,0,0,,,,VN,,,,,,CLG816C
1,105623542400/A11/15BB,2023-08-01,HUUNGHILS,'0101117660,Công ty TNHH Thương mại - tài chính Hải âu,"LIUGONG MACHINERY HONGKONG CO., LTD",'84295100,1,"Máy xúc lật bánh lốp Liugong model CLG816C, động cơ diezel Yunnei, công suất 65 kW, Thể tích gầu 1.0m3. Có van chờ. Hàng mới 100% sản xuất năm 2023",13330.0,13330.0,,,G1,,USD,23500.0,23500,2,UNIT,CN,LGHKVNSF2318-1,2023-07-27,LC,DAP,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,50120800.0,0,0,,,,VN,,,,,,CLG816C
2,105620800500/A11/03CC,2023-08-01,CANGHPKVI,'0104567918,Công Ty TNHH Công Nghiệp Phú Thái,"PHU THAI TRADING PTE ., LTD",'84292000,1,Máy san gạt hiệu CATERPILLAR Model : 14 . Serial : CAT00014CNN400316 . Mới 100%.Động cơ diesel . ( Phụ tùng tháo rời đồng bộ ).,405000.0,405000.0,,,G1,,USD,23500.0,23500,1,PCE,US,PTT20230533,2023-05-27,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,761400000.0,0,0,,,,VN,,,,MÁY SAN GẠT,CATERPILLAR,14
3,105620785060/A11/03CE,2023-08-01,CANGHPKVII,'0104197907,Công Ty TNHH Một Thành Viên Thương Mại Vận Tải Việt Hưng,"TRIMEN TRACTORS, AS.",'84294090,1,"Xe lu rung nhãn hiệu Hamm, Model 3412HT, lực rung > 20 tấn tính theo trọng lượng, năm sx: 2012. Số khung: H1802060, động cơ Diezel. Hàng đã qua sử dụng.",50262.9552,45750.0,,,G1,,EUR,25818.13,23500,1,PCE,DE,620251,2023-05-06,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,94494355.8,0,0,,,,VN,,,,XE LU RUNG,HAMM,3412HT
4,105622630041/A11/03CC,2023-08-01,CANGHPKVI,'0106092635,Công Ty Cổ Phần Xuất Nhập Khẩu Doan Nguyễn,B&N MASCHINEN HANDEL GMBH,'84294050,1,"Xe lu rung nhãn hiệu HAMM 3518 số serial: H1760633 đã qua sử dụng , động cơ diesel, năm sản xuất: Xác định theo kết quả cơ quan đăng kiểm. Xe có trọng tải rung > 20t",46692.3628,42500.0,,,G1,,EUR,25818.13,23500,1,PCE,DE,RE23060201,2023-06-13,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,87781642.0,0,0,,,,VN,,,,XE LU RUNG,HAMM,3518
5,105620920200/A11/03TG,2023-08-01,CHPKVIII,'0107161391,Công Ty TNHH Thương Mại Và Dịch Vụ Vận Tải Bảo Châu,"TJ ENTERPRISE CO.,LTD",'84295200,3,"Máy đào bánh lốp hiệu DOOSAN, model: DX55W-5, số khung: DHKCEWAXVJ0002675, sử dụng nhiên liệu diesel, sản xuất năm 2018, hàng đã qua sử dụng.",25000.0,25000.0,25000.0,25000.0,G1,G1,USD,23500.0,23500,1,PCE,KR,TJ-230705BAO,2023-07-20,KC,CIF,2,2-Đường biển (container),,,Không nghi vấn – chấp nhận trị giá khai báo,0,0,8,0,0.0,0.0,47000000.0,0,0,,Bình thường,,VN,2023-08-02,,,MÁY ĐÀO BÁNH LỐP,DOOSAN,DX55W-5
6,105622770040/A11/03CC,2023-08-01,CANGHPKVI,'0106092635,Công Ty Cổ Phần Xuất Nhập Khẩu Doan Nguyễn,B&N MASCHINEN HANDEL GMBH,'84294050,1,"Xe lu rung nhãn hiệu HAMM 3412 số serial: 44043 đã qua sử dụng , động cơ diesel, năm sản xuất: Xác định theo kết quả cơ quan đăng kiểm. Xe có trọng tải rung > 20t",43945.7532,40000.0,,,G1,,EUR,25818.13,23500,1,PCE,DE,RE23060203,2023-06-13,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,82618016.0,0,0,,,,VN,,,,XE LU RUNG,HAMM,3412
7,105622804120/A11/03CC,2023-08-01,CANGHPKVI,'0106092635,Công Ty Cổ Phần Xuất Nhập Khẩu Doan Nguyễn,B&N MASCHINEN HANDEL GMBH,'84294050,1,"Xe lu rung nhãn hiệu HAMM 3412HT số serial: H1601713 đã qua sử dụng , động cơ diesel, năm sản xuất: Xác định theo kết quả cơ quan đăng kiểm. Xe có trọng tải rung > 20t",52734.9038,48000.0,,,G1,,EUR,25818.13,23500,1,PCE,DE,RE23060202,2023-06-13,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,99141619.2,0,0,,,,VN,,,,XE LU RUNG,HAMM,3412HT
8,105620920200/A11/03TG,2023-08-01,CHPKVIII,'0107161391,Công Ty TNHH Thương Mại Và Dịch Vụ Vận Tải Bảo Châu,"TJ ENTERPRISE CO.,LTD",'84295200,1,"Máy đào bánh xích hiệu DOOSAN, model: DX55MTACE, số khung: DX55MTACE-5818, sử dụng nhiên liệu diesel, sản xuất năm 2012, hàng đã qua sử dụng.",4000.0,4000.0,4000.0,4000.0,G1,G1,USD,23500.0,23500,1,PCE,KR,TJ-230705BAO,2023-07-20,KC,CIF,2,2-Đường biển (container),,,Không nghi vấn – chấp nhận trị giá khai báo,0,0,8,0,0.0,0.0,7520000.0,0,0,,Bình thường,,VN,2023-08-02,,,MÁY ĐÀO BÁNH XÍCH,DOOSAN,DX55MTACE
9,105620920200/A11/03TG,2023-08-01,CHPKVIII,'0107161391,Công Ty TNHH Thương Mại Và Dịch Vụ Vận Tải Bảo Châu,"TJ ENTERPRISE CO.,LTD",'84295200,2,"Máy đào bánh lốp hiệu DOOSAN, model: DX55W, số khung: DX55W-5649, sử dụng nhiên liệu diesel, sản xuất năm 2009, hàng đã qua sử dụng.",10000.0,10000.0,10000.0,10000.0,G1,G1,USD,23500.0,23500,1,PCE,KR,TJ-230705BAO,2023-07-20,KC,CIF,2,2-Đường biển (container),,,Không nghi vấn – chấp nhận trị giá khai báo,0,0,8,0,0.0,0.0,18800000.0,0,0,,Bình thường,,VN,2023-08-02,,,MÁY ĐÀO BÁNH LỐP,DOOSAN,DX55W
